Sl No,Date,URL,Review_Title,Author,Rating,Review_text,Review_helpful
0,on 22 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1,Turned out to be a good buy,Dinesh Sibal,3.0 out of 5 stars,"Everything else is fine. Good motor. Nice fitting lids, sturdy handles.Personally speaking, I just felt that the blender Jar (the biggest one) should have been larger. Even 500 ml more space would have helped.",|Was this review helpful to you?YesNo
1,on 22 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1,good for those who need a compact yet good performer,Amazon Customer,5.0 out of 5 stars,Small but powerful ! U can even make dosa batters n stuff... good for those who need a compact yet good performer,|Was this review helpful to you?YesNo
2,on 21 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1,Two Stars,Saurav Singh,2.0 out of 5 stars,Very sussed full,|Was this review helpful to you?YesNo
3,on 21 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1,Five Stars,Mohammad Shoaib,5.0 out of 5 stars,very good in this price range.,|Was this review helpful to you?YesNo
4,on 21 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1,Five Stars,Sandeep Kumar Mourya,5.0 out of 5 stars,very good pruduct,|Was this review helpful to you?YesNo
5,on 21 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1,Five Stars,Amazon Customer,5.0 out of 5 stars,Nice experience with this product,|Was this review helpful to you?YesNo
6,on 21 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1,not bad.. budget mixer grinder,Sarath Chandra,3.0 out of 5 stars,not bad .. budget mixer grinder ..,|Was this review helpful to you?YesNo
7,on 21 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1,a bit noisy but overall happy with the product seeing its price amzon delivery was ...,Shubham raj,4.0 out of 5 stars,product itself is value for money....a bit noisy but overall happy with the product seeing its priceamzon delivery was pathetic(first time)..,|Was this review helpful to you?YesNo
8,on 20 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1,Three Stars,DILLIP,3.0 out of 5 stars,GOOD,|Was this review helpful to you?YesNo
9,on 20 November 2017,https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/product-reviews/B00HVXS7WC/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1,Damaged,ANIL,1.0 out of 5 stars,Small jar has broken blades,|Was this review helpful to you?YesNo
